"dataset","source","yi","vi","es","age","diagnosis","weight"
"weightr::dat.smith::dat.smith","weightr",0.86,0.183475758,0.86,19,2,5.45031131578702
"weightr::dat.smith::dat.smith","weightr",0.93,0.224025,0.93,35,2,4.46378752371387
"weightr::dat.smith::dat.smith","weightr",0.02,0.154770238,0.02,45,3,6.46119055525391
"weightr::dat.smith::dat.smith","weightr",3.17,0.434555833,3.17,20,2,2.30120026947147
"weightr::dat.smith::dat.smith","weightr",0.69,0.357138333,0.69,13,1,2.80003546972932
"weightr::dat.smith::dat.smith","weightr",1.14,0.296414286,1.14,33,1,3.37365655851014
"weightr::dat.smith::dat.smith","weightr",-0.15,0.100296053,-0.15,13,1,9.97048208866205
"weightr::dat.smith::dat.smith","weightr",0.34,0.193951196,0.34,19,2,5.15593623872265
"weightr::dat.smith::dat.smith","weightr",0.17,0.225903125,0.17,29,3,4.42667625779856
"weightr::dat.smith::dat.smith","weightr",0.88,0.147161905,0.88,29,1,6.79523685154796
"weightr::dat.smith::dat.smith","weightr",1.26,0.223023333,1.26,20,2,4.48383577874338
"weightr::dat.smith::dat.smith","weightr",0.19,0.182720682,0.19,19,2,5.47283421369892
"weightr::dat.smith::dat.smith","weightr",0.45,0.051298077,0.45,14,1,19.4939081244702
"weightr::dat.smith::dat.smith","weightr",0.8,0.083323077,0.8,20,1,12.0014770937948
"weightr::dat.smith::dat.smith","weightr",3.49,0.688971825,3.49,34,2,1.45143816294665
"weightr::dat.smith::dat.smith","weightr",1.87,0.37885754,1.87,34,2,2.63951457848773
"weightr::dat.smith::dat.smith","weightr",0.64,0.235022222,0.64,30,2,4.25491679676146
"weightr::dat.smith::dat.smith","weightr",0.49,0.058635402,0.49,19,2,17.0545432604009
"weightr::dat.smith::dat.smith","weightr",0.13,0.13973604,0.13,19,2,7.15634992948133
"weightr::dat.smith::dat.smith","weightr",0.09,0.083421377,0.09,20,2,11.9873350927784
"weightr::dat.smith::dat.smith","weightr",-0.85,0.109506579,-0.85,14,1,9.13187142847372
"weightr::dat.smith::dat.smith","weightr",0.5,0.159054487,0.5,20,2,6.28715365948777
"weightr::dat.smith::dat.smith","weightr",-0.24,0.224022222,-0.24,19,2,4.46384287715886
"weightr::dat.smith::dat.smith","weightr",4.68,0.8084,4.68,20,2,1.2370113805047
"weightr::dat.smith::dat.smith","weightr",1.71,0.281225,1.71,19,2,3.55587163303405
"weightr::dat.smith::dat.smith","weightr",0.83,0.034410635,0.83,28,1,29.0607830980161
"weightr::dat.smith::dat.smith","weightr",1.82,0.292011111,1.82,20,2,3.42452722629448
"weightr::dat.smith::dat.smith","weightr",1.47,0.289750347,1.47,19,2,3.45124694535741
"weightr::dat.smith::dat.smith","weightr",0.23,0.235419359,0.23,20,2,4.24773903152119
"weightr::dat.smith::dat.smith","weightr",0.78,0.114747857,0.78,38,2,8.71475970135111
"weightr::dat.smith::dat.smith","weightr",0.31,0.050616026,0.31,14,1,19.7565885555693
"weightr::dat.smith::dat.smith","weightr",0.2,0.143626374,0.2,30,3,6.96250954577465
"weightr::dat.smith::dat.smith","weightr",1.27,0.203323485,1.27,21,3,4.9182710005192
"weightr::dat.smith::dat.smith","weightr",0.19,0.125601667,0.19,36,1,7.96167776977036
"weightr::dat.smith::dat.smith","weightr",-0.11,0.222600347,-0.11,9,1,4.4923559800201
"weightr::dat.smith::dat.smith","weightr",1.72,0.31745,1.72,29,3,3.1501023783273
"weightr::dat.smith::dat.smith","weightr",-0.33,0.203025,-0.33,15,3,4.9255017854944
"weightr::dat.smith::dat.smith","weightr",0.64,0.087271795,0.64,20,2,11.4584557358996
"weightr::dat.smith::dat.smith","weightr",-0.79,0.311718452,-0.79,28,3,3.20802311696325
"weightr::dat.smith::dat.smith","weightr",0.3,0.289464286,0.3,28,3,3.45465761534395
"weightr::dat.smith::dat.smith","weightr",0.4,0.187333333,0.4,19,2,5.33807830131331
"weightr::dat.smith::dat.smith","weightr",4.4,0.780522876,4.4,20,2,1.28119242977832
"weightr::dat.smith::dat.smith","weightr",0.84,0.137250196,0.84,20,1,7.28596409436093
"weightr::dat.smith::dat.smith","weightr",0.02,0.111116993,0.02,35,1,8.9995235922196
"weightr::dat.smith::dat.smith","weightr",1.1,0.293214286,1.1,33,1,3.41047502712743
"weightr::dat.smith::dat.smith","weightr",0.65,0.211736111,0.65,20,3,4.72285995656168
"weightr::dat.smith::dat.smith","weightr",0.49,0.054253876,0.49,13,1,18.4318628221143
"weightr::dat.smith::dat.smith","weightr",3.34,0.570834722,3.34,30,2,1.7518205558631
"weightr::dat.smith::dat.smith","weightr",0.71,0.099625822,0.71,20,1,10.0375583350268
"weightr::dat.smith::dat.smith","weightr",0.65,0.096005908,0.65,39,3,10.4160256470883
"weightr::dat.smith::dat.smith","weightr",0.21,0.235144359,0.21,20,2,4.25270673833175
"weightr::dat.smith::dat.smith","weightr",0.18,0.092052381,0.18,37,3,10.8633800574914
"weightr::dat.smith::dat.smith","weightr",0.5,0.2578125,0.5,20,2,3.87878787878788
"weightr::dat.smith::dat.smith","weightr",0.77,0.082852077,0.77,20,1,12.0697034547486
"weightr::dat.smith::dat.smith","weightr",0.98,0.076396912,0.98,19,1,13.0895342995015
"weightr::dat.smith::dat.smith","weightr",1.29,0.225320455,1.29,19,2,4.43812347174605
"weightr::dat.smith::dat.smith","weightr",0,0.148148148,0,25,1,6.75000000675
"weightr::dat.smith::dat.smith","weightr",-0.41,0.102211842,-0.41,9,1,9.78360217791594
"weightr::dat.smith::dat.smith","weightr",0.48,0.032576635,0.48,28,1,30.6968476025839
"weightr::dat.smith::dat.smith","weightr",0.56,0.086742029,0.56,20,2,11.5284368088738
"weightr::dat.smith::dat.smith","weightr",0.36,0.25405,0.36,20,2,3.93623302499508
"weightr::dat.smith::dat.smith","weightr",1.45,0.108506039,1.45,45,3,9.21607690425415
"weightr::dat.smith::dat.smith","weightr",3.75,0.486268939,3.75,20,2,2.05647517206523
"weightr::dat.smith::dat.smith","weightr",0.41,0.069761598,0.41,11,3,14.3345340225721
"weightr::dat.smith::dat.smith","weightr",0.72,0.093509957,0.72,38,3,10.6940483354088
"weightr::dat.smith::dat.smith","weightr",0.03,0.202045202,0.03,20,1,4.94938751379011
"weightr::dat.smith::dat.smith","weightr",-0.09,0.200225,-0.09,29,3,4.99438132101386
"weightr::dat.smith::dat.smith","weightr",0.45,0.101354779,0.45,36,3,9.8663329925469
"weightr::dat.smith::dat.smith","weightr",0.55,0.260803571,0.55,33,1,3.83430332708136
"weightr::dat.smith::dat.smith","weightr",0.78,0.108005263,0.78,19,2,9.25880806382556
"weightr::dat.smith::dat.smith","weightr",0.13,0.21160817,0.13,21,1,4.72571545796176
"weightr::dat.smith::dat.smith","weightr",0.34,0.169293939,0.34,20,2,5.90688601084531
"weightr::dat.smith::dat.smith","weightr",0.14,0.050250954,0.14,15,1,19.9001197071801
